iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
79	0.8843104956	1.339621311	0.5693848355	0	0	0.6132665832	0.640625	0.3381088825	0
80	0.8852103118	1.33650891	0.5715307582	0	0	0.6140350877	0.6432291667	0.3428571429	0
81	0.8858164941	1.333383059	0.5715307582	0	0	0.615	0.6431833007	0.3418803419	0
82	0.8863705035	1.330633654	0.5715307582	0	0	0.615	0.6436031332	0.3409090909	0
83	0.8864018676	1.327772297	0.5729613734	0	0	0.6155778894	0.6454131425	0.3418803419	0
84	0.8860554721	1.324584325	0.5708154506	0	0	0.6140350877	0.6444879322	0.3342776204	0
85	0.8869792773	1.321641747	0.5715307582	0	0	0.6157697121	0.6436482085	0.3371428571	0
86	0.8868945714	1.318468117	0.5715307582	0	0	0.6157697121	0.6436482085	0.3371428571	0
87	0.886754174	1.315447256	0.5715307582	0	0	0.6165413534	0.6436482085	0.3361823362	0
88	0.886811691	1.312569931	0.5715307582	0	0	0.6165413534	0.6440677966	0.3352272727	0
89	0.8873413395	1.309726142	0.5715307582	0	0	0.6148055207	0.6449086162	0.338028169	0
90	0.8870387333	1.307084558	0.5708154506	0	0	0.6148055207	0.6431833007	0.3389830508	0
91	0.8873241786	1.304287634	0.5701001431	0	0	0.6130653266	0.6427640156	0.3389830508	0
92	0.8871958796	1.30143138	0.5715307582	0	0	0.6165413534	0.6436031332	0.3389830508	0
93	0.887614247	1.298897241	0.5722460658	0	0	0.6192259675	0.644023514	0.3352272727	0
94	0.8884405982	1.296526923	0.5715307582	0	0	0.6167290886	0.6436031332	0.3361823362	0
95	0.8886601601	1.293897306	0.5701001431	0	0	0.6142322097	0.6422976501	0.3361823362	0
96	0.8896956627	1.291148764	0.5722460658	0	0	0.615	0.6449086162	0.3409090909	0
97	0.8897635917	1.288354233	0.5729613734	0	0	0.6167290886	0.6453298498	0.3409090909	0
98	0.8901048993	1.285650215	0.5743919886	0	0	0.6184538653	0.6474442988	0.3426966292	0
99	0.889287996	1.28309223	0.5743919886	0	0	0.6184538653	0.6474442988	0.3426966292	0
100	0.8896296945	1.28072807	0.5743919886	0	0	0.6175	0.6479057592	0.3426966292	0
101	0.8906643199	1.278041661	0.5729613734	0	0	0.615	0.6465968586	0.3426966292	0
102	0.8910356097	1.275667513	0.5722460658	0	0	0.615	0.645751634	0.3389830508	0
103	0.8917138032	1.273399938	0.5715307582	0	0	0.6132665832	0.6453298498	0.3389830508	0
104	0.8915578932	1.271108973	0.5722460658	0	0	0.615	0.645751634	0.3389830508	0
105	0.8912311041	1.268702972	0.5729613734	0	0	0.615	0.6461739699	0.3436619718	0
106	0.8916740757	1.265896017	0.573676681	0	0	0.6165413534	0.6466361855	0.3436619718	0
107	0.8914356953	1.263444474	0.5743919886	0	0	0.6175	0.6470203012	0.3473389356	0
108	0.8920793506	1.261220638	0.5758226037	0	0	0.6184538653	0.6483300589	0.3492957746	0
109	0.8926817683	1.259029439	0.5751072961	0	0	0.6175	0.6479057592	0.3483146067	0
110	0.8928183215	1.256600683	0.5765379113	0	0	0.6192259675	0.6487549148	0.3529411765	0
111	0.8927574952	1.25427711	0.5758226037	0	0	0.6184538653	0.6482939633	0.3519553073	0
112	0.8932965757	1.252086191	0.5765379113	0	0	0.6201743462	0.6487196323	0.3519553073	0
