,loan_term,gender,age,auto,housing,marstatus,regclient,jobtype,region,credits,children,delinq60plus
11090,34,женский,54,нет,собственное,холост,да,,новосибирская область,да,да,1
11092,14,женский,57,,собственное,холост,да,,кемеровская область юг,нет,нет,1
11093,14,женский,57,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,нет,,1
11094,14,мужской,49,,,,да,,алтайский край,да,нет,1
11095,14,женский,24,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,,да,1
11098,14,женский,56,,собственное,разведен,нет,,кемеровская область север,нет,нет,1
11100,29,женский,29,,,,да,,новосибирская область,да,да,1
11101,29,женский,32,нет,собственное,холост,да,,алтайский край,нет,да,1
11102,29,мужской,21,нет,собственное,холост,да,,новосибирская область,нет,нет,1
11104,14,женский,62,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
11109,14,женский,61,,,,нет,,кемеровская область юг,нет,нет,1
11110,14,женский,56,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
11114,14,мужской,38,нет,собственное,разведен,да,,новосибирская область,нет,нет,1
11116,14,мужской,28,,собственное,холост,да,,кемеровская область север,да,нет,1
11119,14,мужской,25,нет,муниципальное,холост,нет,официальное,новосибирская область,да,,1
11125,14,женский,27,,арендуемое,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,1
11126,14,мужской,24,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,да,1
11127,14,мужской,24,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,1
11129,4,женский,59,,,,да,,кемеровская область север,нет,нет,0
11130,4,женский,41,,собственное,холост,нет,официальное,кемеровская область юг,да,нет,0
11131,4,женский,27,да,живут с родителями,гражданский брак/женат/замужем,нет,официальное,новосибирская область,,да,0
11132,4,мужской,65,,,,да,,кемеровская область север,нет,нет,0
11133,4,мужской,57,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
11134,9,мужской,19,,,,да,,кемеровская область север,нет,нет,0
11136,9,мужской,34,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
11139,9,женский,56,нет,собственное,гражданский брак/женат/замужем,нет,,красноярский край,нет,нет,0
11144,14,женский,59,,,,да,,кемеровская область север,нет,нет,0
11145,14,женский,55,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,нет,0
11151,14,женский,59,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,нет,нет,0
11154,14,мужской,51,нет,,,нет,,кемеровская область юг,нет,,0
11157,14,женский,66,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
11159,14,женский,64,нет,долевая собственность,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,0
11161,14,мужской,63,,собственное,холост,да,официальное,кемеровская область юг,да,нет,0
11162,14,женский,21,,,,да,,кемеровская область север,нет,да,0
11164,29,женский,62,нет,собственное,вдова/вдовец,да,,новосибирская область,нет,нет,0
11165,9,мужской,20,,,,да,,кемеровская область север,нет,нет,0
11167,14,мужской,64,,,,да,официальное,кемеровская область юг,,нет,0
11169,14,мужской,25,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
11172,9,мужской,42,,,,да,,кемеровская область север,нет,нет,1
11174,14,мужской,42,,,,да,официальное,кемеровская область север,нет,да,1
11175,14,мужской,44,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,1
11177,14,женский,55,,собственное,вдова/вдовец,нет,неофициальное,кемеровская область юг,да,нет,1
11178,14,мужской,27,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
11181,14,мужской,56,,,,да,,кемеровская область север,нет,нет,1
11182,59,женский,30,,собственное,холост,нет,официальное,кемеровская область юг,да,да,1
11184,59,мужской,24,нет,собственное,холост,нет,,новосибирская область,нет,нет,1
11185,14,женский,50,нет,собственное,гражданский брак/женат/замужем,да,,красноярский край,да,нет,1
11186,14,мужской,23,,живут с родителями,холост,нет,официальное,кемеровская область юг,да,нет,1
11193,29,мужской,32,,,,да,,новосибирская область,нет,да,1
11196,14,мужской,40,,,,да,,кемеровская область север,да,нет,1
11200,14,женский,28,нет,собственное,холост,да,,кемеровская область юг,нет,да,1
11205,14,мужской,33,,,,нет,,красноярский край,нет,нет,1
11207,14,женский,22,,,,нет,официальное,кемеровская область юг,нет,да,1
11209,14,мужской,21,,собственное,холост,да,,кемеровская область север,да,нет,1
11215,14,женский,64,,,,нет,,кемеровская область север,нет,нет,1
11217,14,мужской,31,,,,да,официальное,кемеровская область юг,да,да,1
11219,14,мужской,31,,,,да,,новосибирская область,нет,нет,1
11220,14,женский,41,,муниципальное,разведен,нет,официальное,кемеровская область юг,да,нет,1
11221,14,мужской,26,,собственное,холост,нет,неофициальное,кемеровская область север,нет,нет,1
11222,14,женский,62,нет,собственное,вдова/вдовец,да,,алтайский край,нет,нет,1
11223,14,мужской,25,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
11231,9,мужской,40,,,,да,,кемеровская область север,нет,нет,1
11235,4,женский,61,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,0
11236,9,женский,21,,,,да,официальное,кемеровская область север,да,нет,0
11237,9,мужской,24,,,,да,,кемеровская область север,нет,нет,0
11239,9,женский,53,,,,да,,кемеровская область север,да,нет,0
11241,14,женский,37,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
11243,14,женский,51,нет,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,,0
11244,14,женский,64,,,,да,,кемеровская область юг,да,нет,0
11247,14,мужской,29,,,,нет,официальное,кемеровская область север,нет,нет,0
11249,14,женский,49,нет,собственное,вдова/вдовец,да,,кемеровская область север,нет,да,0
11251,14,женский,65,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
11252,14,мужской,41,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
11253,14,женский,37,нет,собственное,холост,да,,алтайский край,нет,нет,1
11254,14,женский,26,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
11256,14,мужской,19,нет,живут с родителями,холост,да,,кемеровская область север,да,нет,1
11257,14,мужской,29,,живут с родителями,холост,нет,официальное,кемеровская область север,да,нет,1
11259,14,мужской,50,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,1
11262,9,мужской,37,,,,да,,кемеровская область север,нет,да,1
11263,59,женский,24,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,1
11265,14,женский,64,нет,арендуемое,вдова/вдовец,да,,красноярский край,нет,нет,1
11266,14,женский,26,,живут с родителями,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
11267,14,мужской,29,,,,нет,официальное,кемеровская область юг,нет,,1
11268,9,мужской,53,,,,да,,кемеровская область юг,нет,да,1
11269,14,мужской,32,,,,да,,кемеровская область север,нет,нет,1
11270,14,мужской,34,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
11272,14,женский,59,нет,собственное,вдова/вдовец,да,,алтайский край,да,нет,1
11274,14,женский,55,нет,собственное,гражданский брак/женат/замужем,да,,алтайский край,нет,да,1
11276,14,женский,54,,собственное,вдова/вдовец,нет,официальное,кемеровская область север,да,нет,1
11279,14,мужской,28,,,,нет,официальное,кемеровская область юг,нет,нет,1
11281,9,мужской,23,,живут с родителями,холост,нет,официальное,кемеровская область юг,нет,нет,1
11282,9,мужской,24,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
11284,4,мужской,48,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,0
11285,4,мужской,28,,,,нет,официальное,кемеровская область юг,нет,нет,0
11287,4,мужской,58,да,собственное,вдова/вдовец,нет,,кемеровская область юг,да,нет,0
11288,4,женский,23,,,,да,,кемеровская область север,да,нет,0
11292,14,женский,34,,,,да,официальное,кемеровская область север,нет,да,0
11295,14,мужской,19,,,,нет,официальное,кемеровская область север,нет,нет,0
11296,14,мужской,51,,арендуемое,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
11297,14,женский,23,нет,живут с родителями,холост,да,,алтайский край,нет,нет,0
11299,14,женский,58,нет,долевая собственность,вдова/вдовец,нет,,кемеровская область юг,да,нет,0
11303,14,женский,35,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,нет,0
11304,14,женский,29,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,0
11308,29,женский,59,нет,собственное,вдова/вдовец,нет,,алтайский край,да,нет,0
11309,29,женский,58,,,,да,,кемеровская область север,да,нет,0
11310,30,женский,60,,,,да,,новосибирская область,нет,нет,0
11311,14,женский,55,нет,собственное,холост,нет,,алтайский край,да,нет,0
11312,14,женский,57,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,0
11314,14,женский,24,,живут с родителями,холост,да,официальное,кемеровская область юг,да,да,0
11315,14,женский,42,нет,собственное,,да,,кемеровская область север,нет,да,0
11316,14,женский,25,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,1
11320,14,женский,26,,,,да,,алтайский край,нет,нет,1
11322,29,женский,28,,,,да,,кемеровская область север,да,нет,1
11323,9,женский,61,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
11327,59,женский,24,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,1
11329,59,мужской,29,,,,да,,новосибирская область,да,нет,1
11330,14,женский,56,нет,долевая собственность,вдова/вдовец,нет,,кемеровская область юг,нет,нет,1
11331,59,мужской,27,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,да,1
11332,29,мужской,20,,живут с родителями,холост,нет,официальное,кемеровская область север,нет,нет,1
11334,14,мужской,59,,,,да,,кемеровская область юг,нет,нет,1
11336,14,женский,40,нет,собственное,холост,да,,красноярский край,да,нет,1
11340,14,мужской,43,,,,нет,,кемеровская область север,нет,да,1
11343,14,мужской,35,нет,живут с родителями,гражданский брак/женат/замужем,да,,алтайский край,да,да,1
11345,14,женский,21,,,,да,,кемеровская область юг,да,нет,1
11347,14,женский,29,,,,да,,кемеровская область юг,нет,нет,1
11356,14,женский,24,,,,нет,,кемеровская область север,нет,нет,1
11359,14,женский,24,,собственное,разведен,да,,кемеровская область север,да,нет,1
11360,14,мужской,58,,долевая собственность,вдова/вдовец,да,,кемеровская область юг,нет,да,1
11363,14,женский,50,,собственное,гражданский брак/женат/замужем,нет,неофициальное,кемеровская область юг,нет,да,1
11367,14,мужской,24,да,живут с родителями,гражданский брак/женат/замужем,нет,официальное,новосибирская область,,нет,1
11369,9,мужской,25,,,,нет,официальное,кемеровская область север,нет,нет,1
11372,9,женский,57,нет,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,1
11373,9,женский,26,,,,да,,кемеровская область север,да,нет,1
11376,4,мужской,50,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
11379,9,женский,58,,,,да,,кемеровская область юг,да,нет,0
11381,9,женский,37,,,,да,,кемеровская область север,нет,да,0
11382,9,женский,30,,собственное,холост,да,,кемеровская область север,да,да,0
11383,14,женский,19,нет,живут с родителями,холост,нет,официальное,кемеровская область север,да,,0
11384,14,мужской,38,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,,да,0
11385,14,женский,60,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,0
11388,14,мужской,31,,,,да,,алтайский край,да,да,0
11389,14,мужской,36,нет,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,,0
11391,14,мужской,24,,,,нет,официальное,кемеровская область юг,да,нет,0
11392,14,мужской,37,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
11393,14,мужской,21,,живут с родителями,холост,да,официальное,кемеровская область юг,да,нет,0
11394,14,мужской,23,,,,да,,кемеровская область север,да,нет,0
11395,14,женский,22,,долевая собственность,холост,нет,официальное,кемеровская область юг,да,нет,0
11397,14,женский,41,,,,нет,официальное,кемеровская область север,нет,да,0
11400,14,женский,42,,собственное,разведен,да,,кемеровская область север,да,да,0
11401,14,женский,63,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
11403,14,женский,67,нет,собственное,вдова/вдовец,да,,новосибирская область,да,нет,0
11407,14,женский,35,,,,да,,алтайский край,да,да,0
11408,21,женский,61,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
11410,29,мужской,50,,,,да,,кемеровская область север,да,нет,0
11411,14,женский,46,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,0
11416,14,женский,49,,собственное,холост,да,,кемеровская область юг,нет,да,0
11417,14,женский,22,,живут с родителями,холост,да,,кемеровская область север,нет,да,0
11421,14,мужской,37,,,,да,,кемеровская область юг,нет,нет,1
11425,14,женский,40,,собственное,разведен,да,,кемеровская область север,нет,да,1
11426,14,мужской,50,,,,нет,,кемеровская область север,да,нет,1
11430,14,женский,27,,собственное,холост,да,,кемеровская область север,нет,да,1
11431,14,женский,27,,живут с родителями,холост,нет,официальное,кемеровская область юг,да,да,1
11433,14,мужской,38,нет,,гражданский брак/женат/замужем,да,,кемеровская область север,,нет,1
11434,14,мужской,31,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,1
11435,14,мужской,26,,собственное,холост,да,,кемеровская область юг,нет,да,1
11436,59,мужской,52,нет,муниципальное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,1
11437,59,мужской,25,,муниципальное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
11438,14,мужской,28,,,,да,,алтайский край,нет,да,1
11440,14,женский,25,,,,да,,кемеровская область юг,да,нет,1
11443,14,женский,31,,,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
11445,14,мужской,28,,арендуемое,холост,да,,кемеровская область юг,нет,да,1
11446,14,женский,43,,,,да,,алтайский край,да,нет,1
11451,29,женский,54,,,,да,,алтайский край,да,нет,1
11453,9,мужской,21,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,1
11460,14,мужской,54,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,нет,1
11461,14,мужской,34,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,1
11466,14,женский,43,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,1
11468,14,женский,25,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,да,1
11471,14,женский,21,нет,живут с родителями,холост,да,,алтайский край,нет,нет,1
11472,14,мужской,20,,,,нет,официальное,кемеровская область юг,нет,нет,1
11475,14,женский,23,,,,да,,кемеровская область юг,нет,да,1
11477,14,мужской,58,да,собственное,гражданский брак/женат/замужем,да,,алтайский край,да,нет,1
11478,14,женский,40,,собственное,разведен,да,,кемеровская область север,да,нет,1
11482,14,женский,26,,собственное,холост,нет,официальное,кемеровская область север,нет,нет,1
11483,14,мужской,31,,долевая собственность,холост,да,,кемеровская область север,нет,нет,1
11492,14,мужской,32,нет,долевая собственность,гражданский брак/женат/замужем,нет,,алтайский край,нет,да,1
11493,14,женский,24,нет,собственное,вдова/вдовец,нет,,кемеровская область север,нет,да,1
11494,14,женский,30,нет,арендуемое,холост,да,,кемеровская область север,нет,да,1
11498,9,мужской,22,,собственное,холост,нет,,кемеровская область юг,да,нет,1
11499,9,женский,59,,собственное,вдова/вдовец,нет,неофициальное,кемеровская область север,да,нет,1
11500,9,мужской,21,,,,да,,кемеровская область север,да,нет,1
11506,4,женский,28,,,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
11507,4,мужской,35,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
11508,9,мужской,35,,собственное,,да,,кемеровская область юг,да,нет,0
11510,9,женский,49,,,,да,,кемеровская область север,нет,,0
11511,9,мужской,44,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
11512,9,мужской,28,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
11513,9,женский,29,,,,да,,кемеровская область север,нет,нет,0
11518,14,женский,57,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,нет,0
11522,14,мужской,58,,,,да,,кемеровская область юг,нет,нет,0
11525,14,мужской,52,нет,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,,нет,0
11526,14,женский,64,нет,собственное,разведен,нет,,кемеровская область юг,нет,нет,0
11529,14,мужской,34,,,,да,,кемеровская область юг,да,да,0
11531,19,мужской,24,,живут с родителями,холост,да,,кемеровская область юг,нет,нет,0
11534,14,женский,27,нет,собственное,,да,,кемеровская область север,нет,да,0
11535,14,мужской,53,да,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
11539,14,мужской,45,,,,да,,новосибирская область,нет,нет,0
11540,14,женский,28,,арендуемое,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,1
11542,9,мужской,24,,муниципальное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,нет,1
11552,14,женский,59,,собственное,разведен,нет,,кемеровская область север,да,нет,1
11556,29,мужской,65,да,собственное,вдова/вдовец,да,,алтайский край,нет,нет,1
11557,29,мужской,30,,,,да,,новосибирская область,да,нет,1
11558,14,женский,43,нет,собственное,гражданский брак/женат/замужем,нет,официальное,красноярский край,,нет,1
11562,19,мужской,25,,,,да,,кемеровская область юг,нет,нет,1
11563,19,мужской,27,,собственное,разведен,да,,кемеровская область юг,да,да,1
11564,14,мужской,32,нет,собственное,холост,да,,кемеровская область север,нет,нет,1
11570,14,женский,19,,,,нет,неофициальное,кемеровская область север,да,да,1
11579,14,мужской,33,,собственное,холост,да,,кемеровская область юг,нет,да,1
11581,9,мужской,23,,,,да,,кемеровская область юг,да,нет,1
11582,9,женский,29,,,,да,,кемеровская область юг,нет,нет,1
11583,9,мужской,26,нет,живут с родителями,гражданский брак/женат/замужем,нет,официальное,новосибирская область,нет,,1
11584,9,мужской,30,,,,да,,кемеровская область север,нет,да,1
11585,6,женский,58,нет,собственное,разведен,нет,официальное,новосибирская область,да,,1
11586,24,мужской,67,,,,да,,кемеровская область юг,нет,нет,1
11589,29,женский,53,нет,собственное,вдова/вдовец,да,,новосибирская область,да,да,0
11592,14,мужской,28,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
11594,4,мужской,26,,,,да,,кемеровская область север,да,нет,1
11596,14,женский,38,,,,да,,кемеровская область север,,да,1
11599,9,женский,47,,,,да,,кемеровская область юг,да,нет,1
11600,14,мужской,42,,,,да,,кемеровская область север,нет,да,1
11601,14,мужской,20,нет,живут с родителями,холост,да,,кемеровская область север,да,нет,1
11619,6,мужской,27,да,собственное,гражданский брак/женат/замужем,нет,официальное,новосибирская область,нет,,1
11623,4,женский,26,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,0
11624,4,женский,30,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
11625,4,мужской,38,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
11630,9,мужской,63,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
11632,14,женский,20,,,,да,,кемеровская область север,да,да,0
11634,14,женский,43,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,0
11636,14,женский,45,,собственное,холост,нет,,кемеровская область юг,нет,нет,0
11637,14,женский,42,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
11639,14,мужской,40,,,,да,,кемеровская область север,да,нет,0
11641,14,мужской,22,,,,да,,кемеровская область север,нет,,0
11645,14,мужской,30,,,,да,,кемеровская область юг,да,нет,0
11646,14,мужской,32,,,,да,,новосибирская область,да,да,0
11649,14,мужской,50,нет,собственное,холост,да,,новосибирская область,нет,нет,0
11659,14,женский,58,,,,да,,кемеровская область юг,,нет,0
11660,28,мужской,23,,,,да,,новосибирская область,да,нет,0
11661,29,женский,58,,собственное,разведен,нет,,кемеровская область север,нет,нет,0
11662,29,мужской,26,,арендуемое,холост,нет,официальное,кемеровская область север,нет,нет,0
11663,59,женский,53,,собственное,разведен,да,,кемеровская область север,нет,нет,0
11665,14,мужской,61,,,,да,,кемеровская область север,нет,нет,0
11668,14,женский,21,,,,нет,,кемеровская область юг,нет,нет,0
11669,14,мужской,21,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,1
11676,14,женский,42,,,,да,,кемеровская область юг,да,нет,1
11679,14,мужской,44,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
11681,59,мужской,27,,,,да,,кемеровская область юг,да,нет,1
11685,14,женский,61,да,собственное,гражданский брак/женат/замужем,нет,,красноярский край,,нет,1
11689,14,женский,23,,,,нет,официальное,кемеровская область юг,да,нет,1
11691,14,женский,32,нет,собственное,гражданский брак/женат/замужем,да,,красноярский край,да,да,1
11692,14,женский,40,,,,да,,алтайский край,да,да,1
11694,14,женский,23,нет,муниципальное,,да,,кемеровская область север,нет,да,1
11695,14,мужской,20,нет,долевая собственность,гражданский брак/женат/замужем,нет,официальное,красноярский край,,нет,1
11700,14,женский,60,нет,долевая собственность,гражданский брак/женат/замужем,нет,,алтайский край,нет,да,1
11701,14,мужской,50,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,1
11702,14,мужской,41,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,1
11703,14,женский,20,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,1
11704,14,мужской,35,,,,да,,кемеровская область юг,нет,да,1
11707,14,мужской,48,,муниципальное,вдова/вдовец,да,,кемеровская область север,нет,да,1
11708,14,женский,56,нет,собственное,вдова/вдовец,да,,алтайский край,нет,нет,1
11713,14,мужской,50,нет,собственное,разведен,нет,,кемеровская область юг,да,нет,1
11723,14,женский,43,,собственное,холост,да,официальное,кемеровская область юг,нет,нет,1
11725,14,женский,63,нет,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,1
11726,9,мужской,28,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
11731,4,мужской,53,,,,да,,кемеровская область север,да,нет,0
11732,9,женский,23,,,,да,,кемеровская область север,да,да,0
11733,9,мужской,24,да,арендуемое,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,0
11736,14,мужской,28,,собственное,холост,да,официальное,кемеровская область юг,нет,да,0
11740,14,мужской,30,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,нет,0
11744,14,женский,64,,собственное,холост,да,,кемеровская область север,нет,,0
11747,14,мужской,34,да,собственное,разведен,да,,кемеровская область север,да,да,0
11749,19,женский,58,,,,да,,новосибирская область,да,нет,0
11750,19,женский,62,нет,муниципальное,гражданский брак/женат/замужем,да,,новосибирская область,да,нет,0
11751,19,женский,55,да,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,0
11752,9,мужской,30,,,,да,,кемеровская область север,нет,нет,0
11754,9,женский,50,,собственное,разведен,да,,кемеровская область север,да,нет,0
11756,14,женский,39,,собственное,разведен,да,,кемеровская область север,да,нет,0
11757,14,мужской,36,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,нет,0
11762,29,женский,20,,,,да,,кемеровская область юг,да,нет,1
11763,14,женский,39,,,,да,,кемеровская область юг,да,нет,1
11764,14,женский,30,,,,да,,кемеровская область север,нет,нет,1
11765,14,женский,25,,арендуемое,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,нет,1
11766,14,женский,25,,живут с родителями,разведен,да,,кемеровская область юг,да,да,1
11768,14,мужской,26,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,1
11771,15,мужской,51,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,нет,1
11773,19,женский,63,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
11777,14,женский,20,,живут с родителями,холост,нет,,кемеровская область север,нет,да,1
11778,19,женский,63,,,,да,,кемеровская область юг,нет,нет,1
11783,19,мужской,38,нет,собственное,холост,нет,,кемеровская область юг,нет,нет,1
11785,19,мужской,50,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
11786,29,женский,32,,,,да,,кемеровская область север,нет,да,1
11790,19,женский,64,нет,собственное,холост,да,,алтайский край,нет,да,1
11794,14,женский,46,нет,арендуемое,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,1
11796,14,мужской,23,нет,живут с родителями,гражданский брак/женат/замужем,нет,,новосибирская область,нет,да,1
11802,14,женский,34,,собственное,разведен,нет,официальное,кемеровская область юг,да,нет,1
11804,14,мужской,30,,собственное,холост,да,,кемеровская область юг,нет,нет,1
11807,14,женский,50,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,1
11810,14,мужской,27,,,,нет,неофициальное,кемеровская область север,нет,нет,1
11812,14,женский,27,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
11813,14,женский,50,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,да,да,1
11819,14,мужской,20,,собственное,холост,нет,официальное,кемеровская область юг,да,,0
11820,14,женский,60,,собственное,разведен,да,,кемеровская область север,нет,нет,0
11824,14,женский,45,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,нет,0
11825,14,мужской,38,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,0
11826,14,мужской,26,,собственное,холост,да,,кемеровская область север,нет,нет,0
11834,14,мужской,52,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
11837,19,женский,56,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,нет,нет,0
