,loan_term,gender,age,auto,housing,marstatus,regclient,jobtype,region,credits,children,delinq60plus
367,9,мужской,24,,собственное,,да,,кемеровская область север,нет,,0
368,9,женский,62,нет,собственное,разведен,нет,,кемеровская область юг,да,нет,0
371,14,женский,33,,собственное,разведен,да,,кемеровская область север,да,да,0
372,14,женский,34,нет,долевая собственность,разведен,да,,кемеровская область юг,нет,да,0
377,29,мужской,26,,,,да,,кемеровская область юг,да,нет,0
379,14,мужской,21,,собственное,холост,да,,кемеровская область север,нет,,1
380,14,женский,41,,собственное,холост,нет,официальное,кемеровская область север,да,нет,1
384,59,женский,33,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,1
385,14,женский,47,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,1
387,14,мужской,31,,,,да,,кемеровская область север,да,да,1
391,14,мужской,36,,,,да,,кемеровская область север,нет,нет,1
392,14,женский,49,,собственное,холост,да,,кемеровская область север,да,,1
394,14,мужской,41,,,,да,,кемеровская область юг,нет,нет,1
396,14,женский,46,нет,собственное,вдова/вдовец,да,,кемеровская область юг,нет,нет,1
399,14,мужской,33,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,1
400,14,мужской,35,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
402,9,мужской,30,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,да,1
403,9,женский,24,,,,нет,официальное,кемеровская область север,нет,да,1
406,9,мужской,52,,собственное,разведен,да,,кемеровская область север,нет,нет,0
407,9,женский,63,,собственное,вдова/вдовец,нет,,кемеровская область юг,да,,0
408,14,женский,54,,,,да,,кемеровская область юг,да,нет,0
409,14,женский,24,,долевая собственность,холост,нет,официальное,кемеровская область юг,да,нет,0
411,14,мужской,37,,долевая собственность,разведен,да,,кемеровская область юг,нет,да,1
412,9,женский,44,,,,да,,кемеровская область юг,нет,нет,1
414,14,мужской,29,,собственное,холост,да,официальное,кемеровская область север,да,нет,1
415,4,женский,50,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,да,нет,1
417,9,женский,34,,муниципальное,холост,нет,неофициальное,кемеровская область север,да,да,1
419,14,женский,41,,арендуемое,разведен,да,официальное,кемеровская область юг,да,да,1
420,14,женский,46,,,,да,,кемеровская область север,нет,нет,1
421,14,женский,20,,живут с родителями,холост,нет,,кемеровская область север,нет,нет,1
422,9,мужской,40,да,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,да,1
423,9,мужской,19,,живут с родителями,холост,да,официальное,кемеровская область юг,да,нет,1
424,9,мужской,20,,живут с родителями,холост,нет,,кемеровская область юг,нет,нет,1
426,4,женский,29,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
427,9,женский,27,,,,нет,,кемеровская область север,да,да,0
428,9,женский,30,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
431,9,женский,51,,собственное,разведен,нет,,кемеровская область юг,,нет,0
432,9,мужской,24,,долевая собственность,холост,да,,кемеровская область север,да,нет,0
433,14,мужской,36,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
434,14,мужской,47,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,да,нет,0
435,14,мужской,21,,,,да,,кемеровская область юг,нет,нет,0
437,14,мужской,37,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,0
439,14,мужской,35,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
442,14,мужской,29,,,,да,,кемеровская область юг,нет,нет,1
443,14,женский,34,,собственное,вдова/вдовец,да,,кемеровская область север,нет,да,1
444,59,женский,38,,,,нет,,кемеровская область юг,нет,да,1
445,59,женский,57,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,1
448,14,мужской,22,,живут с родителями,холост,нет,официальное,кемеровская область юг,нет,нет,1
449,14,женский,20,,собственное,холост,да,,кемеровская область север,нет,да,1
450,14,женский,41,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,да,1
451,14,мужской,27,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
452,14,женский,30,,,,да,,кемеровская область юг,да,да,1
453,29,мужской,31,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,1
454,29,женский,46,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
455,29,женский,46,,собственное,разведен,да,официальное,кемеровская область юг,да,нет,1
461,14,мужской,31,,,,нет,,кемеровская область юг,нет,нет,1
464,14,мужской,29,,,,да,официальное,кемеровская область север,нет,да,1
466,14,мужской,24,нет,собственное,,да,,кемеровская область север,нет,нет,1
467,14,женский,58,,собственное,холост,нет,,кемеровская область юг,нет,нет,1
468,14,мужской,24,,живут с родителями,холост,да,официальное,кемеровская область юг,нет,нет,1
469,14,мужской,27,,,,да,официальное,кемеровская область юг,нет,нет,1
470,14,мужской,23,,,,да,,кемеровская область юг,да,нет,1
472,14,мужской,25,,,,нет,,кемеровская область юг,да,нет,1
475,14,мужской,19,,,холост,да,,кемеровская область север,нет,нет,1
481,9,женский,25,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,,нет,1
485,9,мужской,53,нет,собственное,холост,нет,,кемеровская область юг,нет,нет,0
487,9,мужской,38,,,,нет,,кемеровская область юг,нет,нет,0
489,14,мужской,26,,живут с родителями,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
492,29,женский,23,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
493,59,женский,40,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,да,да,0
494,14,женский,28,,собственное,холост,да,,кемеровская область север,да,да,0
495,14,мужской,23,,собственное,,да,,кемеровская область север,да,нет,1
497,14,женский,34,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,1
498,14,женский,26,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,нет,1
499,59,женский,53,нет,собственное,вдова/вдовец,нет,,новосибирская область,нет,нет,1
501,59,мужской,61,да,долевая собственность,гражданский брак/женат/замужем,нет,,кемеровская область юг,да,нет,1
502,14,женский,53,нет,собственное,разведен,да,,кемеровская область север,нет,нет,1
503,9,мужской,22,,,,да,официальное,кемеровская область юг,нет,нет,1
504,14,мужской,29,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
505,14,женский,30,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,нет,1
509,14,мужской,61,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
510,14,мужской,26,нет,живут с родителями,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,1
516,14,мужской,21,,,,нет,,новосибирская область,нет,нет,1
518,14,мужской,21,нет,арендуемое,холост,нет,,новосибирская область,нет,нет,1
519,1,женский,37,,,,да,,кемеровская область север,нет,да,1
520,4,мужской,46,,,,да,,кемеровская область север,нет,нет,0
523,14,мужской,26,нет,живут с родителями,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,0
524,14,мужской,56,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,нет,0
527,14,женский,60,нет,собственное,вдова/вдовец,нет,официальное,кемеровская область север,,нет,0
528,14,женский,60,,собственное,вдова/вдовец,да,,кемеровская область север,да,,0
529,14,женский,29,нет,живут с родителями,гражданский брак/женат/замужем,нет,,новосибирская область,да,да,0
534,59,мужской,49,,собственное,разведен,нет,официальное,кемеровская область юг,да,нет,0
535,14,мужской,30,да,собственное,холост,да,,кемеровская область юг,да,нет,1
537,14,женский,46,,собственное,вдова/вдовец,да,,кемеровская область север,,,1
542,14,женский,32,,арендуемое,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
543,24,женский,47,,,,да,,кемеровская область север,да,нет,1
546,29,женский,55,нет,собственное,разведен,нет,,кемеровская область север,,нет,1
548,29,мужской,31,да,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,да,1
549,26,женский,19,нет,собственное,холост,нет,,кемеровская область юг,нет,нет,1
553,14,женский,49,нет,арендуемое,вдова/вдовец,нет,,новосибирская область,нет,нет,1
554,14,женский,32,,собственное,,нет,официальное,кемеровская область юг,нет,да,1
555,14,мужской,27,нет,арендуемое,гражданский брак/женат/замужем,да,,кемеровская область юг,да,,1
