gender,age,marstatus,children,age
Женский,42,Разведен,Пропуск поля,3
Женский,42,Холост,Да,16
Женский,42,Холост,Нет,34
Женский,42,Холост,Пропуск поля,1
Женский,43,Вдова/вдовец,Да,11
Женский,43,Вдова/вдовец,Нет,13
Женский,43,Гражданский брак/женат/замужем,Да,57
Женский,43,Гражданский брак/женат/замужем,Нет,73
Женский,43,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,43,Разведен,Да,19
Женский,43,Разведен,Нет,29
Женский,43,Холост,Да,23
Женский,43,Холост,Нет,28
Женский,43,Холост,Пропуск поля,3
Женский,44,Вдова/вдовец,Да,6
Женский,44,Вдова/вдовец,Нет,13
Женский,44,Вдова/вдовец,Пропуск поля,1
Женский,44,Гражданский брак/женат/замужем,Да,41
Женский,44,Гражданский брак/женат/замужем,Нет,67
Женский,44,Гражданский брак/женат/замужем,Пропуск поля,4
Женский,44,Разведен,Да,23
Женский,44,Разведен,Нет,34
Женский,44,Разведен,Пропуск поля,1
Женский,44,Холост,Да,20
Женский,44,Холост,Нет,30
Женский,44,Холост,Пропуск поля,2
Женский,45,Вдова/вдовец,Да,2
Женский,45,Вдова/вдовец,Нет,14
Женский,45,Гражданский брак/женат/замужем,Да,30
Женский,45,Гражданский брак/женат/замужем,Нет,68
Женский,45,Гражданский брак/женат/замужем,Пропуск поля,3
Женский,45,Разведен,Да,9
Женский,45,Разведен,Нет,35
Женский,45,Холост,Да,16
Женский,45,Холост,Нет,20
Женский,45,Холост,Пропуск поля,1
Женский,46,Вдова/вдовец,Да,7
Женский,46,Вдова/вдовец,Нет,19
Женский,46,Вдова/вдовец,Пропуск поля,1
Женский,46,Гражданский брак/женат/замужем,Да,20
Женский,46,Гражданский брак/женат/замужем,Нет,57
Женский,46,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,46,Разведен,Да,4
Женский,46,Разведен,Нет,35
Женский,46,Холост,Да,11
Женский,46,Холост,Нет,42
Женский,46,Холост,Пропуск поля,3
Женский,47,Вдова/вдовец,Да,1
Женский,47,Вдова/вдовец,Нет,16
Женский,47,Гражданский брак/женат/замужем,Да,27
Женский,47,Гражданский брак/женат/замужем,Нет,67
Женский,47,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,47,Разведен,Да,6
Женский,47,Разведен,Нет,45
Женский,47,Разведен,Пропуск поля,1
Женский,47,Холост,Да,8
Женский,47,Холост,Нет,30
Женский,47,Холост,Пропуск поля,3
Женский,48,Вдова/вдовец,Да,1
Женский,48,Вдова/вдовец,Нет,17
Женский,48,Вдова/вдовец,Пропуск поля,2
Женский,48,Гражданский брак/женат/замужем,Да,13
Женский,48,Гражданский брак/женат/замужем,Нет,75
Женский,48,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,48,Разведен,Да,6
Женский,48,Разведен,Нет,36
Женский,48,Разведен,Пропуск поля,3
Женский,48,Холост,Да,8
Женский,48,Холост,Нет,33
Женский,48,Холост,Пропуск поля,1
Женский,49,Вдова/вдовец,Да,3
Женский,49,Вдова/вдовец,Нет,23
Женский,49,Гражданский брак/женат/замужем,Да,12
Женский,49,Гражданский брак/женат/замужем,Нет,83
Женский,49,Гражданский брак/женат/замужем,Пропуск поля,6
Женский,49,Разведен,Да,5
Женский,49,Разведен,Нет,37
Женский,49,Разведен,Пропуск поля,1
Женский,49,Холост,Да,8
Женский,49,Холост,Нет,35
Женский,49,Холост,Пропуск поля,3
Женский,50,Вдова/вдовец,Да,5
Женский,50,Вдова/вдовец,Нет,42
Женский,50,Гражданский брак/женат/замужем,Да,19
Женский,50,Гражданский брак/женат/замужем,Нет,94
Женский,50,Гражданский брак/женат/замужем,Пропуск поля,3
Женский,50,Разведен,Да,8
Женский,50,Разведен,Нет,37
Женский,50,Разведен,Пропуск поля,2
Женский,50,Холост,Да,5
Женский,50,Холост,Нет,45
Женский,51,Вдова/вдовец,Да,3
Женский,51,Вдова/вдовец,Нет,35
Женский,51,Вдова/вдовец,Пропуск поля,2
Женский,51,Гражданский брак/женат/замужем,Да,10
Женский,51,Гражданский брак/женат/замужем,Нет,113
Женский,51,Гражданский брак/женат/замужем,Пропуск поля,7
Женский,51,Разведен,Да,3
Женский,51,Разведен,Нет,38
Женский,51,Холост,Да,6
Женский,51,Холост,Нет,46
Женский,51,Холост,Пропуск поля,3
Женский,52,Вдова/вдовец,Да,3
Женский,52,Вдова/вдовец,Нет,32
Женский,52,Гражданский брак/женат/замужем,Да,7
Женский,52,Гражданский брак/женат/замужем,Нет,96
Женский,52,Гражданский брак/женат/замужем,Пропуск поля,3
Женский,52,Разведен,Да,4
Женский,52,Разведен,Нет,43
Женский,52,Разведен,Пропуск поля,1
Женский,52,Холост,Да,4
Женский,52,Холост,Нет,43
Женский,52,Холост,Пропуск поля,1
Женский,53,Вдова/вдовец,Да,2
Женский,53,Вдова/вдовец,Нет,56
Женский,53,Вдова/вдовец,Пропуск поля,2
Женский,53,Гражданский брак/женат/замужем,Да,15
Женский,53,Гражданский брак/женат/замужем,Нет,86
Женский,53,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,53,Разведен,Да,2
Женский,53,Разведен,Нет,60
Женский,53,Разведен,Пропуск поля,1
Женский,53,Холост,Да,3
Женский,53,Холост,Нет,49
Женский,53,Холост,Пропуск поля,4
Женский,54,Вдова/вдовец,Да,3
Женский,54,Вдова/вдовец,Нет,56
Женский,54,Вдова/вдовец,Пропуск поля,2
Женский,54,Гражданский брак/женат/замужем,Да,6
Женский,54,Гражданский брак/женат/замужем,Нет,114
Женский,54,Гражданский брак/женат/замужем,Пропуск поля,4
Женский,54,Разведен,Да,2
Женский,54,Разведен,Нет,36
Женский,54,Разведен,Пропуск поля,1
Женский,54,Холост,Да,4
Женский,54,Холост,Нет,55
Женский,54,Холост,Пропуск поля,3
Женский,55,Вдова/вдовец,Да,2
Женский,55,Вдова/вдовец,Нет,81
Женский,55,Вдова/вдовец,Пропуск поля,2
Женский,55,Гражданский брак/женат/замужем,Да,11
Женский,55,Гражданский брак/женат/замужем,Нет,155
Женский,55,Гражданский брак/женат/замужем,Пропуск поля,3
Женский,55,Разведен,Да,2
Женский,55,Разведен,Нет,40
Женский,55,Разведен,Пропуск поля,2
Женский,55,Холост,Да,3
Женский,55,Холост,Нет,66
Женский,55,Холост,Пропуск поля,3
Женский,56,Вдова/вдовец,Да,3
Женский,56,Вдова/вдовец,Нет,70
Женский,56,Вдова/вдовец,Пропуск поля,7
Женский,56,Гражданский брак/женат/замужем,Да,6
Женский,56,Гражданский брак/женат/замужем,Нет,142
Женский,56,Гражданский брак/женат/замужем,Пропуск поля,5
Женский,56,Разведен,Да,3
Женский,56,Разведен,Нет,39
Женский,56,Разведен,Пропуск поля,1
Женский,56,Холост,Да,3
Женский,56,Холост,Нет,66
Женский,56,Холост,Пропуск поля,3
Женский,57,Вдова/вдовец,Да,3
Женский,57,Вдова/вдовец,Нет,73
Женский,57,Вдова/вдовец,Пропуск поля,6
Женский,57,Гражданский брак/женат/замужем,Да,3
Женский,57,Гражданский брак/женат/замужем,Нет,141
Женский,57,Гражданский брак/женат/замужем,Пропуск поля,6
Женский,57,Разведен,Да,1
Женский,57,Разведен,Нет,46
Женский,57,Разведен,Пропуск поля,1
Женский,57,Холост,Нет,64
Женский,57,Холост,Пропуск поля,4
Женский,58,Вдова/вдовец,Да,2
Женский,58,Вдова/вдовец,Нет,94
Женский,58,Вдова/вдовец,Пропуск поля,4
Женский,58,Гражданский брак/женат/замужем,Да,1
Женский,58,Гражданский брак/женат/замужем,Нет,124
Женский,58,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,58,Разведен,Да,1
Женский,58,Разведен,Нет,34
Женский,58,Разведен,Пропуск поля,3
Женский,58,Холост,Да,1
Женский,58,Холост,Нет,55
Женский,58,Холост,Пропуск поля,5
Женский,59,Вдова/вдовец,Да,1
Женский,59,Вдова/вдовец,Нет,115
Женский,59,Вдова/вдовец,Пропуск поля,9
Женский,59,Гражданский брак/женат/замужем,Да,4
Женский,59,Гражданский брак/женат/замужем,Нет,96
Женский,59,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,59,Разведен,Нет,33
Женский,59,Разведен,Пропуск поля,2
Женский,59,Холост,Да,2
Женский,59,Холост,Нет,56
Женский,59,Холост,Пропуск поля,2
Женский,60,Вдова/вдовец,Да,1
Женский,60,Вдова/вдовец,Нет,89
Женский,60,Вдова/вдовец,Пропуск поля,4
Женский,60,Гражданский брак/женат/замужем,Да,1
Женский,60,Гражданский брак/женат/замужем,Нет,81
Женский,60,Гражданский брак/женат/замужем,Пропуск поля,3
Женский,60,Разведен,Да,1
Женский,60,Разведен,Нет,29
Женский,60,Разведен,Пропуск поля,2
Женский,60,Холост,Нет,45
Женский,60,Холост,Пропуск поля,5
Женский,61,Вдова/вдовец,Да,2
Женский,61,Вдова/вдовец,Нет,87
Женский,61,Вдова/вдовец,Пропуск поля,5
Женский,61,Гражданский брак/женат/замужем,Да,1
Женский,61,Гражданский брак/женат/замужем,Нет,74
Женский,61,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,61,Разведен,Нет,20
Женский,61,Разведен,Пропуск поля,2
Женский,61,Холост,Нет,54
Женский,61,Холост,Пропуск поля,3
Женский,62,Вдова/вдовец,Нет,71
Женский,62,Вдова/вдовец,Пропуск поля,3
Женский,62,Гражданский брак/женат/замужем,Да,2
Женский,62,Гражданский брак/женат/замужем,Нет,75
Женский,62,Разведен,Нет,32
Женский,62,Холост,Да,2
Женский,62,Холост,Нет,42
